Ia Fit Probability,Normalized Ia Chi^2,Normalized CC Chi^2,Ia=0__CC=1,,,,,
4.20E-03,0.107826284,0.107826284,0,,,,,
0.0023,0.223272455,0.223272455,0,,,,,
1.00E-04,0.022319545,0.022319545,0,,,,,
0.00E+00,0.029779137,0.029779137,0,,,,,
0.226,0.330747806,0.330747806,0,,,,,
7.82E-02,0.136334012,0.136334012,0,,,,,
0.0062,0.10480616,0.10480616,0,,,,,
0.00E+00,0.003745169,0.003745169,0,,,,,
0.1584,0.255172931,0.255172931,0,,,,,
0.0042,0.134010188,0.134010188,0,,,,,
1E-04,5.53435E-08,5.53435E-08,0,,,,,
1E-04,0.063131574,0.063131574,0,,,,,
0.0368,0.310588029,0.310588029,0,,,,,
0.00E+00,0.010529693,0.010529693,0,,,,,
0.0112,0.305269277,0.305269277,0,,,,,
0.0793,0.297382742,0.297382742,0,,,,,
0.0421,0.320063891,0.320063891,0,,,,,
0.0023,0.095819923,0.095819923,0,,,,,
0.0124,0.220448544,0.220448544,0,,,,,
0.172,0.324276862,0.324276862,0,,,,,
0,0.021762646,0.021762646,0,,,,,
0.0588,0.240002851,0.240002851,0,,,,,
0.5531,0.323848456,0.323848456,0,,,,,
0,0.156856207,0.156856207,0,,,,,
1.60E-03,0.084274748,0.084274748,0,,,,,
0.0008,0.029813318,0.029813318,0,,,,,
0.1817,0.326092894,0.326092894,0,,,,,
0.00E+00,0.008656497,0.008656497,0,,,,,
5.50E-03,0.076212008,0.076212008,0,,,,,
0.489,0.323095633,0.323095633,0,,,,,
0.00E+00,0.010953035,0.010953035,0,,,,,
3.00E-04,0.034923683,0.034923683,0,,,,,
0.00E+00,0.011321806,0.011321806,0,,,,,
0.0002,0.07652954,0.07652954,0,,,,,
6.00E-04,0.081717809,0.081717809,0,,,,,
0.0825,0.263852011,0.263852011,0,,,,,
0.0005,0.19606898,0.19606898,0,,,,,
0.0002,0.128426908,0.128426908,0,,,,,
0,0.022452813,0.022452813,0,,,,,
0,0.050449464,0.050449464,0,,,,,
1E-04,0.10511844,0.10511844,0,,,,,
0.00E+00,0.008899868,0.008899868,0,,,,,
0.00E+00,0.03378473,0.03378473,0,,,,,
0.00E+00,0.006079228,0.006079228,0,,,,,
0.0066,0.096035442,0.096035442,0,,,,,
0.00E+00,0.019148785,0.019148785,0,,,,,
0.0767,0.191216117,0.191216117,0,,,,,
0.0106,0.119329461,0.119329461,0,,,,,
3.00E-04,0.017563549,0.017563549,0,,,,,
0.5172,0.314649362,0.314649362,0,,,,,
0,0.032346653,0.032346653,0,,,,,
0,0.065504517,0.065504517,0,,,,,
0.0079,0.153944946,0.153944946,0,,,,,
0.00E+00,0.021055581,0.021055581,0,,,,,
1E-04,0.146562208,0.146562208,0,,,,,
4.36E-02,0.133573947,0.133573947,0,,,,,
0.4266,0.327455135,0.327455135,0,,,,,
0.0054,0.222586619,0.222586619,1,,,,,
0.0931,0.224454669,0.224454669,1,,,,,
1E-04,0.248959888,0.248959888,1,,,,,
0.435,0.307405696,0.307405696,1,,,,,
0.3897,0.338384094,0.338384094,1,,,,,
0.0157,0.335324702,0.335324702,1,,,,,
0.0202,0.324998769,0.324998769,1,,,,,
0.0308,0.360727209,0.360727209,1,,,,,
