,CID,TYPE,ITYPE_BEST,FITPROB_Ia,FITPROB_Ibc,FITPROB_II,CHI2_Ia,CHI2_Ibc,CHI2_II,PBAYES_Ia,PBAYES_Ibc,PBAYES_II,Ia=0__CC=1
0,13373,1,0,0.9958,0.2044,8.66788e-02,6.0906,23.7883,26.6064,1,4.47755e-06,2.58934e-06,0
1,1408,1,0,0.9977,0.9725,0.8984,5.5416,8.3753,10.9030,0.9866,8.77326e-03,4.64822e-03,0
2,8322,1,0,0.9999,0.6623,1.85594e-02,0.6085,6.7577,19.8969,0.9997,3.40870e-04,1.29398e-07,0
3,14684,1,0,1,7.32069e-04,4.56111e-03,2.4337,43.2732,36.0181,1,5.20868e-10,3.77967e-09,0
4,176,1,0,0.7740,0.7717,0.7576,12.4213,12.4577,12.6762,0.9200,5.59892e-02,2.40291e-02,0
5,3954,1,0,0.9218,5.72788e-02,4.43258e-03,9.5388,25.7749,34.6527,0.9998,1.87766e-04,5.72022e-07,0
6,9058,1,-9,0.9938,0.9672,0.9309,8.26443e-02,0.2612,0.4447,0.8314,0.1325,3.60511e-02,0
7,9249,1,0,1,8.99044e-26,5.10398e-09,0.9040,164.9324,75.5412,1,1.21808e-37,1.01643e-17,0
8,5765,1,0,0.8416,0.3324,0.5445,12.9401,21.0802,16.6908,0.9913,4.99475e-04,8.22126e-03,0
9,4963,1,0,0.9958,0.9152,0.9110,0.3841,0.9639,1.5182,0.9022,2.80141e-02,6.97937e-02,0
10,13558,1,-9,0.9999,0.9803,0.9801,4.42891e-09,3.97448e-02,4.02811e-02,0.7870,0.1352,7.78171e-02,0
11,5316,1,0,0.9999,1.70665e-02,0.4243,3.3024,31.5580,17.4494,0.9953,2.11983e-07,4.73342e-03,0
12,4799,1,0,0.9632,0.9321,0.9166,9.5517,9.9929,11.2090,0.9785,1.75616e-02,3.94715e-03,0
13,7848,1,0,1,1.70529e-05,2.00115e-12,1.5852,54.2044,94.7561,1,1.73864e-13,1.22568e-22,0
14,5778,1,0,0.9888,0.9652,0.9746,7.7724,8.7549,8.9335,0.8302,0.1508,1.89449e-02,0
15,12037,1,0,0.9207,0.8022,0.8239,10.3284,11.9653,12.4373,0.9378,5.70550e-02,5.17478e-03,0
16,5830,1,0,0.9579,0.9423,0.9437,9.0773,9.6660,9.6176,0.9672,1.94280e-02,1.33445e-02,0
17,5104,1,0,0.9977,1.17980e-02,0.1761,6.1060,34.2296,23.3881,1,6.12433e-07,3.70679e-05,0
18,14214,1,0,0.9876,0.7547,0.8415,7.2709,13.6015,12.1099,0.9985,1.08246e-04,1.35213e-03,0
19,14307,1,0,0.8280,0.7640,0.7252,13.2029,13.4526,14.0594,0.9808,1.61056e-02,3.09113e-03,0
20,8255,1,0,1,0.3360,0.2147,0.4929,10.1811,11.9749,0.9992,7.91700e-04,4.85290e-05,0
21,10013,1,0,0.9412,0.5012,0.7390,10.4401,18.3195,14.7403,0.9962,1.50627e-03,2.33007e-03,0
22,3338,1,0,0.4469,0.1650,0.7188,18.1337,23.7035,14.1572,0.7052,9.37515e-03,0.2854,0
23,7812,1,0,1,1,0.9991,4.83127e-02,5.85936e-02,0.2011,0.7119,0.1078,0.1803,0
24,3551,1,0,0.9984,0.8176,1.08714e-02,3.2958,8.3860,27.4260,0.9869,1.31216e-02,1.10774e-06,0
25,1377,1,0,0.9992,0.9619,0.4402,0.1926,1.4633,4.8043,0.9740,1.65155e-02,9.50356e-03,0
26,9262,1,2,0.8183,0.2814,0.9989,12.5370,20.9611,4.9480,1.94370e-02,5.93299e-05,0.9805,0
27,869,1,0,1,5.12924e-04,8.01253e-05,0.5254,27.8043,32.3646,1,5.68188e-08,8.61589e-09,0
28,1603,1,0,0.9945,7.18590e-03,1.33218e-04,6.9543,35.9381,48.3570,1,1.57481e-08,3.98253e-11,0
29,11444,1,0,0.5110,0.4420,0.3406,18.1719,18.2080,19.8632,0.5343,0.3783,8.73226e-02,0
30,6775,1,0,1,3.02165e-07,1.48120e-04,1.2148,63.2544,46.4407,1,7.23819e-15,5.97867e-12,0
31,13389,1,0,0.9997,3.28979e-02,3.67696e-05,2.4368,23.8126,43.5256,1,9.21729e-07,4.26240e-11,0
32,12089,1,0,1,0.6948,8.50690e-03,0.5284,13.6057,32.5369,0.9997,3.16276e-04,1.05619e-08,0
33,3401,1,-9,0.9998,0.9607,0.9977,0.1092,1.0224,0.2953,0.4535,4.80125e-02,0.4984,0
34,8702,1,0,0.9994,0.9995,3.01474e-03,3.6740,3.9340,37.3516,0.8745,0.1255,2.61828e-09,0
35,7501,1,0,0.9175,0.7895,0.7136,3.9053,5.4916,5.4042,0.8447,8.11228e-02,7.41895e-02,0
36,13555,1,-9,0.9995,0.9979,0.9992,1.48475e-02,4.03889e-02,2.04895e-02,0.6511,6.68641e-02,0.2820,0
